movieId,title,year,genres,average_rating,num_ratings
1,Toy Story,1995.0,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.92,215
2,Jumanji,1995.0,"['Adventure', 'Children', 'Fantasy']",3.43,110
3,Grumpier Old Men,1995.0,"['Comedy', 'Romance']",3.26,52
5,Father of the Bride Part II,1995.0,['Comedy'],3.07,49
6,Heat,1995.0,"['Action', 'Crime', 'Thriller']",3.95,102
7,Sabrina,1995.0,"['Comedy', 'Romance']",3.19,54
9,Sudden Death,1995.0,['Action'],3.12,16
10,GoldenEye,1995.0,"['Action', 'Adventure', 'Thriller']",3.5,132
11,"American President, The",1995.0,"['Comedy', 'Drama', 'Romance']",3.67,70
12,Dracula: Dead and Loving It,1995.0,"['Comedy', 'Horror']",2.42,19
14,Nixon,1995.0,['Drama'],3.83,18
15,Cutthroat Island,1995.0,"['Action', 'Adventure', 'Romance']",3.0,13
16,Casino,1995.0,"['Crime', 'Drama']",3.93,82
17,Sense and Sensibility,1995.0,"['Drama', 'Romance']",3.78,67
18,Four Rooms,1995.0,['Comedy'],3.7,20
19,Ace Ventura: When Nature Calls,1995.0,['Comedy'],2.73,88
20,Money Train,1995.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",2.5,15
21,Get Shorty,1995.0,"['Comedy', 'Crime', 'Thriller']",3.49,89
22,Copycat,1995.0,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",3.22,36
23,Assassins,1995.0,"['Action', 'Crime', 'Thriller']",3.12,16
24,Powder,1995.0,"['Drama', 'Sci-Fi']",3.12,28
25,Leaving Las Vegas,1995.0,"['Drama', 'Romance']",3.62,76
26,Othello,1995.0,['Drama'],3.5,13
28,Persuasion,1995.0,"['Drama', 'Romance']",4.23,11
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995.0,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",4.01,38
31,Dangerous Minds,1995.0,['Drama'],3.18,38
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995.0,"['Mystery', 'Sci-Fi', 'Thriller']",3.98,177
34,Babe,1995.0,"['Children', 'Drama']",3.65,128
36,Dead Man Walking,1995.0,"['Crime', 'Drama']",3.84,67
39,Clueless,1995.0,"['Comedy', 'Romance']",3.29,104
41,Richard III,1995.0,"['Drama', 'War']",3.7,15
44,Mortal Kombat,1995.0,"['Action', 'Adventure', 'Fantasy']",2.54,46
45,To Die For,1995.0,"['Comedy', 'Drama', 'Thriller']",3.31,32
46,How to Make an American Quilt,1995.0,"['Drama', 'Romance']",3.07,15
47,Seven (a.k.a. Se7en),1995.0,"['Mystery', 'Thriller']",3.98,203
48,Pocahontas,1995.0,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",3.15,68
50,"Usual Suspects, The",1995.0,"['Crime', 'Mystery', 'Thriller']",4.24,204
52,Mighty Aphrodite,1995.0,"['Comedy', 'Drama', 'Romance']",3.46,28
58,"Postman, The (Postino, Il)",1994.0,"['Comedy', 'Drama', 'Romance']",4.03,37
60,"Indian in the Cupboard, The",1995.0,"['Adventure', 'Children', 'Fantasy']",3.24,34
62,Mr. Holland's Opus,1995.0,['Drama'],3.71,80
65,Bio-Dome,1996.0,['Comedy'],2.53,31
69,Friday,1995.0,['Comedy'],3.78,20
